commit,version,date,bench,metric,unit,value,ci_low,ci_high,allocs,allocs_ci_low,allocs_ci_high,rustc,machine
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_finalize/10000,mean,ns,1781183.3813910966,1780569.9486144783,1781886.2509503567,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_finalize/10000,median,ns,1780604.4974390245,1780174.6545454545,1781149.202020202,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_finalize/100000,mean,ns,18401762.69666667,18383700.53191667,18422251.882749997,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_finalize/100000,median,ns,18382079.166666664,18363422.666666668,18399300.333333332,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_finalize/1000,mean,ns,192198.359505141,191937.5950989681,192571.86610012047,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_finalize/1000,median,ns,192230.935739537,192153.58,192286.23758865247,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_finalize/100,mean,ns,21968.45417804624,21917.063764009832,22020.457762482303,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_finalize/100,median,ns,21959.975118090035,21943.037831733483,22032.72632519357,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_properties/10000,mean,ns,3638560.9135714294,3637316.2453571428,3639898.9424285707,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_properties/10000,median,ns,3637587.25,3636549.5,3638308.0,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
12d82119439b,v0.4.1,2025-11-21T03:45:55.346631Z,builder_add_properties/1000,mean,ns,378686.4314091434,378011.8223374072,379745.71350991423,,,,rustc 1.91.1 (ed61e7d7e 2025-11-07),github
